GSE11003	JAK2_mutant_40	GSM278220,GSM278189,GSM278206,GSM278198,GSM278218,GSM278195,GSM278215,GSM278224,GSM278207,GSM278221,GSM278204,GSM278210,GSM278190,GSM278219,GSM278199,GSM278205,GSM278188,GSM278225,GSM278194,GSM278191,GSM278214,GSM278211	GSM278203,GSM278200,GSM278223,GSM278197,GSM278226,GSM278212,GSM278209,GSM278192,GSM278227,GSM278201,GSM278193,GSM278213,GSM278196,GSM278216,GSM278222,GSM278202,GSM278208,GSM278217	GPL1708	Homo sapiens	circulating granulocytes	unknown
GSE12124	IRAK4_knockout_41	GSM305712,GSM305709,GSM305706,GSM305726,GSM305723,GSM305720,GSM305703,GSM305721,GSM305707,GSM305704,GSM305724,GSM305718,GSM305715,GSM305716,GSM305722,GSM305719,GSM305713,GSM305710,GSM305714,GSM305711,GSM305717,GSM305705,GSM305725,GSM305708	GSM305732,GSM305729,GSM305727,GSM305730,GSM305733,GSM305734,GSM305731,GSM305728	GPL6106	Homo sapiens	fibroblasts stimulated with various cytokines	2 and 8hr
GSE12234	JAK2_mutant_42	GSM307293,GSM307292,GSM307394	GSM307502,GSM307499,GSM307500,GSM307498	GPL7091	Homo sapiens	CD34+ progenitor	unknown
GSE15815	SRC_activemutant_51	GSM396663,GSM396737,GSM396738	GSM396814,GSM396741,GSM396815	GPL2897	Mus musculus	liver	unknown
GSE16684	IGF1R_knockdown_52	GSM418134,GSM418132,GSM418133	GSM418136,GSM418137,GSM418135	GPL1261	Mus musculus	T6(6) leukemia	unknown
GSE18239	JAK1_activemutant_61	GSM455852,GSM455849,GSM455858,GSM455850,GSM455856,GSM455857,GSM455854,GSM455851	GSM455855,GSM455853,GSM455848	GPL570	Homo sapiens	T-ALL	unknown
GSE19329	VRK1_knockout_64	GSM480275,GSM480278,GSM480276,GSM480277	GSM480280,GSM480281,GSM480282,GSM480279	GPL4134	Mus musculus	testicular cells	unknown
GSE24264	IRAK2_knockout_76	GSM596836,GSM596838,GSM596837	GSM596839,GSM596841,GSM596840	GPL6885	Mus musculus	macrophages treated with CpG B or R848 or nothing	unknown
GSE27869	CHEK2_knockdown_84	GSM688381,GSM688441,GSM688335,GSM688275,GSM688192,GSM688358,GSM688298,GSM688418,GSM688132,GSM688215,GSM688424,GSM688258,GSM688378,GSM688318,GSM688341,GSM688401,GSM688152,GSM688272,GSM688212,GSM688129,GSM688235,GSM688438,GSM688295,GSM688069,GSM688355,GSM688106,GSM688189,GSM688255,GSM688398,GSM688315,GSM688278,GSM688195,GSM688421,GSM688338,GSM688209,GSM688066,GSM688172,GSM688149,GSM688232,GSM688112,GSM688292,GSM688126,GSM688089,GSM688049,GSM688109,GSM688252,GSM688086,GSM688169,GSM688444,GSM688361,GSM688367,GSM688284,GSM688427,GSM688224,GSM688390,GSM688307,GSM688178,GSM688261,GSM688321,GSM688155,GSM688404,GSM688141,GSM688201,GSM688238,GSM688118,GSM688344,GSM688095,GSM688161,GSM688364,GSM688447,GSM688304,GSM688072,GSM688244,GSM688078,GSM688327,GSM688387,GSM688175,GSM688221,GSM688138,GSM688281,GSM688115,GSM688055,GSM688198,GSM688092,GSM688075,GSM688052,GSM688158,GSM688218,GSM688135,GSM688410,GSM688430,GSM688181,GSM688347,GSM688264,GSM688301,GSM688383,GSM688241,GSM688384,GSM688407,GSM688324,GSM688098,GSM688443,GSM688180,GSM688240,GSM688300,GSM688263,GSM688406,GSM688277,GSM688323,GSM688074,GSM688194,GSM688051,GSM688157,GSM688360,GSM688134,GSM688217,GSM688111,GSM688094,GSM688154,GSM688131,GSM688214,GSM688071,GSM688346,GSM688429,GSM688366,GSM688320,GSM688426,GSM688237,GSM688200,GSM688343,GSM688177,GSM688283,GSM688409,GSM688117,GSM688260,GSM688303,GSM688403,GSM688446,GSM688423,GSM688363,GSM688386,GSM688197,GSM688137,GSM688257,GSM688280,GSM688054,GSM688114,GSM688091,GSM688340,GSM688174,GSM688220,GSM688097,GSM688203,GSM688060,GSM688120,GSM688143,GSM688395,GSM688415,GSM688332,GSM688392,GSM688226,GSM688286,GSM688309,GSM688369,GSM688166,GSM688083,GSM688249,GSM688412,GSM688306,GSM688352,GSM688269,GSM688389,GSM688435,GSM688186,GSM688375,GSM688163,GSM688223,GSM688329,GSM688103,GSM688246,GSM688140,GSM688289,GSM688206,GSM688080,GSM688312,GSM688229,GSM688057,GSM688123,GSM688349,GSM688146,GSM688063,GSM688432,GSM688372,GSM688243,GSM688183,GSM688326,GSM688160,GSM688100,GSM688266,GSM688077,GSM688351,GSM688411,GSM688268,GSM688222,GSM688434,GSM688305,GSM688245,GSM688328,GSM688162,GSM688365,GSM688185,GSM688388,GSM688348,GSM688102,GSM688431,GSM688408,GSM688242,GSM688288,GSM688325,GSM688136,GSM688371,GSM688122,GSM688182,GSM688428,GSM688265,GSM688205,GSM688099,GSM688159,GSM688076,GSM688059,GSM688368,GSM688142,GSM688053,GSM688285,GSM688225,GSM688391,GSM688345,GSM688262,GSM688119,GSM688179,GSM688308,GSM688096,GSM688139,GSM688202,GSM688116,GSM688282,GSM688079,GSM688056,GSM688199,GSM688414,GSM688397,GSM688171,GSM688088,GSM688374,GSM688065,GSM688337,GSM688291,GSM688420,GSM688254,GSM688125,GSM688274,GSM688208,GSM688314,GSM688357,GSM688191,GSM688297,GSM688148,GSM688231,GSM688251,GSM688145,GSM688168,GSM688062,GSM688334,GSM688394,GSM688417,GSM688228,GSM688108,GSM688311,GSM688085,GSM688165,GSM688248,GSM688188,GSM688105,GSM688128,GSM688082,GSM688380,GSM688440,GSM688377,GSM688400,GSM688068,GSM688354,GSM688271,GSM688317,GSM688294,GSM688413,GSM688210,GSM688293,GSM688211,GSM688187,GSM688234,GSM688331,GSM688437,GSM688104,GSM688151,GSM688081,GSM688270,GSM688330,GSM688436,GSM688376,GSM688353,GSM688058,GSM688164,GSM688127,GSM688247,GSM688267,GSM688064,GSM688184,GSM688124,GSM688101,GSM688396,GSM688336,GSM688419,GSM688290,GSM688207,GSM688313,GSM688230,GSM688350,GSM688373,GSM688416,GSM688393,GSM688084,GSM688310,GSM688273,GSM688107,GSM688061,GSM688287,GSM688190,GSM688204,GSM688370,GSM688090,GSM688147,GSM688433,GSM688233,GSM688439,GSM688167,GSM688333,GSM688356,GSM688227,GSM688173,GSM688144,GSM688250,GSM688448,GSM688121,GSM688425,GSM688067,GSM688150,GSM688445,GSM688316,GSM688399,GSM688339,GSM688302,GSM688113,GSM688422,GSM688219,GSM688196,GSM688382,GSM688239,GSM688442,GSM688322,GSM688299,GSM688405,GSM688362,GSM688385,GSM688216,GSM688156,GSM688193,GSM688256,GSM688133,GSM688110,GSM688276,GSM688279,GSM688050,GSM688087,GSM688170,GSM688319,GSM688379,GSM688342,GSM688402,GSM688213,GSM688296,GSM688093,GSM688253,GSM688236,GSM688359,GSM688130,GSM688073,GSM688259,GSM688176,GSM688153,GSM688070	GSM688137	GPL4044	Homo sapiens	primary human epithelial cells	unknown
GSE27869	CDK4_knockdown_85	GSM688381,GSM688441,GSM688335,GSM688275,GSM688192,GSM688358,GSM688298,GSM688418,GSM688132,GSM688215,GSM688424,GSM688258,GSM688378,GSM688318,GSM688341,GSM688401,GSM688152,GSM688272,GSM688212,GSM688129,GSM688235,GSM688438,GSM688295,GSM688069,GSM688355,GSM688106,GSM688189,GSM688255,GSM688398,GSM688315,GSM688278,GSM688195,GSM688421,GSM688338,GSM688209,GSM688066,GSM688172,GSM688149,GSM688232,GSM688112,GSM688292,GSM688126,GSM688089,GSM688049,GSM688109,GSM688252,GSM688086,GSM688169,GSM688444,GSM688361,GSM688367,GSM688284,GSM688427,GSM688224,GSM688390,GSM688307,GSM688178,GSM688261,GSM688321,GSM688155,GSM688404,GSM688141,GSM688201,GSM688238,GSM688118,GSM688344,GSM688095,GSM688161,GSM688364,GSM688447,GSM688304,GSM688072,GSM688244,GSM688078,GSM688327,GSM688387,GSM688175,GSM688221,GSM688138,GSM688281,GSM688115,GSM688055,GSM688198,GSM688092,GSM688075,GSM688052,GSM688158,GSM688218,GSM688135,GSM688410,GSM688430,GSM688181,GSM688347,GSM688264,GSM688301,GSM688383,GSM688241,GSM688384,GSM688407,GSM688324,GSM688098,GSM688443,GSM688180,GSM688240,GSM688300,GSM688263,GSM688406,GSM688277,GSM688323,GSM688074,GSM688194,GSM688051,GSM688157,GSM688360,GSM688134,GSM688217,GSM688111,GSM688094,GSM688154,GSM688131,GSM688214,GSM688071,GSM688346,GSM688429,GSM688366,GSM688320,GSM688426,GSM688237,GSM688200,GSM688343,GSM688177,GSM688283,GSM688409,GSM688117,GSM688260,GSM688303,GSM688403,GSM688446,GSM688423,GSM688363,GSM688386,GSM688197,GSM688137,GSM688257,GSM688280,GSM688054,GSM688114,GSM688091,GSM688340,GSM688174,GSM688220,GSM688097,GSM688203,GSM688060,GSM688120,GSM688143,GSM688395,GSM688415,GSM688332,GSM688392,GSM688226,GSM688286,GSM688309,GSM688369,GSM688166,GSM688083,GSM688249,GSM688412,GSM688306,GSM688352,GSM688269,GSM688389,GSM688435,GSM688186,GSM688375,GSM688163,GSM688223,GSM688329,GSM688103,GSM688246,GSM688140,GSM688289,GSM688206,GSM688080,GSM688312,GSM688229,GSM688057,GSM688123,GSM688349,GSM688146,GSM688063,GSM688432,GSM688372,GSM688243,GSM688183,GSM688326,GSM688160,GSM688100,GSM688266,GSM688077,GSM688351,GSM688411,GSM688268,GSM688222,GSM688434,GSM688305,GSM688245,GSM688328,GSM688162,GSM688365,GSM688185,GSM688388,GSM688348,GSM688102,GSM688431,GSM688408,GSM688242,GSM688288,GSM688325,GSM688136,GSM688371,GSM688122,GSM688182,GSM688428,GSM688265,GSM688205,GSM688099,GSM688159,GSM688076,GSM688059,GSM688368,GSM688142,GSM688053,GSM688285,GSM688225,GSM688391,GSM688345,GSM688262,GSM688119,GSM688179,GSM688308,GSM688096,GSM688139,GSM688202,GSM688116,GSM688282,GSM688079,GSM688056,GSM688199,GSM688414,GSM688397,GSM688171,GSM688088,GSM688374,GSM688065,GSM688337,GSM688291,GSM688420,GSM688254,GSM688125,GSM688274,GSM688208,GSM688314,GSM688357,GSM688191,GSM688297,GSM688148,GSM688231,GSM688251,GSM688145,GSM688168,GSM688062,GSM688334,GSM688394,GSM688417,GSM688228,GSM688108,GSM688311,GSM688085,GSM688165,GSM688248,GSM688188,GSM688105,GSM688128,GSM688082,GSM688380,GSM688440,GSM688377,GSM688400,GSM688068,GSM688354,GSM688271,GSM688317,GSM688294,GSM688413,GSM688210,GSM688293,GSM688211,GSM688187,GSM688234,GSM688331,GSM688437,GSM688104,GSM688151,GSM688081,GSM688270,GSM688330,GSM688436,GSM688376,GSM688353,GSM688058,GSM688164,GSM688127,GSM688247,GSM688267,GSM688064,GSM688184,GSM688124,GSM688101,GSM688396,GSM688336,GSM688419,GSM688290,GSM688207,GSM688313,GSM688230,GSM688350,GSM688373,GSM688416,GSM688393,GSM688084,GSM688310,GSM688273,GSM688107,GSM688061,GSM688287,GSM688190,GSM688204,GSM688370,GSM688090,GSM688147,GSM688433,GSM688233,GSM688439,GSM688167,GSM688333,GSM688356,GSM688227,GSM688173,GSM688144,GSM688250,GSM688448,GSM688121,GSM688425,GSM688067,GSM688150,GSM688445,GSM688316,GSM688399,GSM688339,GSM688302,GSM688113,GSM688422,GSM688219,GSM688196,GSM688382,GSM688239,GSM688442,GSM688322,GSM688299,GSM688405,GSM688362,GSM688385,GSM688216,GSM688156,GSM688193,GSM688256,GSM688133,GSM688110,GSM688276,GSM688279,GSM688050,GSM688087,GSM688170,GSM688319,GSM688379,GSM688342,GSM688402,GSM688213,GSM688296,GSM688093,GSM688253,GSM688236,GSM688359,GSM688130,GSM688073,GSM688259,GSM688176,GSM688153,GSM688070	GSM688112	GPL4044	Homo sapiens	primary human epithelial cells	unknown
GSE27869	IKBKB_knockdown_86	GSM688381,GSM688441,GSM688335,GSM688275,GSM688192,GSM688358,GSM688298,GSM688418,GSM688132,GSM688215,GSM688424,GSM688258,GSM688378,GSM688318,GSM688341,GSM688401,GSM688152,GSM688272,GSM688212,GSM688129,GSM688235,GSM688438,GSM688295,GSM688069,GSM688355,GSM688106,GSM688189,GSM688255,GSM688398,GSM688315,GSM688278,GSM688195,GSM688421,GSM688338,GSM688209,GSM688066,GSM688172,GSM688149,GSM688232,GSM688112,GSM688292,GSM688126,GSM688089,GSM688049,GSM688109,GSM688252,GSM688086,GSM688169,GSM688444,GSM688361,GSM688367,GSM688284,GSM688427,GSM688224,GSM688390,GSM688307,GSM688178,GSM688261,GSM688321,GSM688155,GSM688404,GSM688141,GSM688201,GSM688238,GSM688118,GSM688344,GSM688095,GSM688161,GSM688364,GSM688447,GSM688304,GSM688072,GSM688244,GSM688078,GSM688327,GSM688387,GSM688175,GSM688221,GSM688138,GSM688281,GSM688115,GSM688055,GSM688198,GSM688092,GSM688075,GSM688052,GSM688158,GSM688218,GSM688135,GSM688410,GSM688430,GSM688181,GSM688347,GSM688264,GSM688301,GSM688383,GSM688241,GSM688384,GSM688407,GSM688324,GSM688098,GSM688443,GSM688180,GSM688240,GSM688300,GSM688263,GSM688406,GSM688277,GSM688323,GSM688074,GSM688194,GSM688051,GSM688157,GSM688360,GSM688134,GSM688217,GSM688111,GSM688094,GSM688154,GSM688131,GSM688214,GSM688071,GSM688346,GSM688429,GSM688366,GSM688320,GSM688426,GSM688237,GSM688200,GSM688343,GSM688177,GSM688283,GSM688409,GSM688117,GSM688260,GSM688303,GSM688403,GSM688446,GSM688423,GSM688363,GSM688386,GSM688197,GSM688137,GSM688257,GSM688280,GSM688054,GSM688114,GSM688091,GSM688340,GSM688174,GSM688220,GSM688097,GSM688203,GSM688060,GSM688120,GSM688143,GSM688395,GSM688415,GSM688332,GSM688392,GSM688226,GSM688286,GSM688309,GSM688369,GSM688166,GSM688083,GSM688249,GSM688412,GSM688306,GSM688352,GSM688269,GSM688389,GSM688435,GSM688186,GSM688375,GSM688163,GSM688223,GSM688329,GSM688103,GSM688246,GSM688140,GSM688289,GSM688206,GSM688080,GSM688312,GSM688229,GSM688057,GSM688123,GSM688349,GSM688146,GSM688063,GSM688432,GSM688372,GSM688243,GSM688183,GSM688326,GSM688160,GSM688100,GSM688266,GSM688077,GSM688351,GSM688411,GSM688268,GSM688222,GSM688434,GSM688305,GSM688245,GSM688328,GSM688162,GSM688365,GSM688185,GSM688388,GSM688348,GSM688102,GSM688431,GSM688408,GSM688242,GSM688288,GSM688325,GSM688136,GSM688371,GSM688122,GSM688182,GSM688428,GSM688265,GSM688205,GSM688099,GSM688159,GSM688076,GSM688059,GSM688368,GSM688142,GSM688053,GSM688285,GSM688225,GSM688391,GSM688345,GSM688262,GSM688119,GSM688179,GSM688308,GSM688096,GSM688139,GSM688202,GSM688116,GSM688282,GSM688079,GSM688056,GSM688199,GSM688414,GSM688397,GSM688171,GSM688088,GSM688374,GSM688065,GSM688337,GSM688291,GSM688420,GSM688254,GSM688125,GSM688274,GSM688208,GSM688314,GSM688357,GSM688191,GSM688297,GSM688148,GSM688231,GSM688251,GSM688145,GSM688168,GSM688062,GSM688334,GSM688394,GSM688417,GSM688228,GSM688108,GSM688311,GSM688085,GSM688165,GSM688248,GSM688188,GSM688105,GSM688128,GSM688082,GSM688380,GSM688440,GSM688377,GSM688400,GSM688068,GSM688354,GSM688271,GSM688317,GSM688294,GSM688413,GSM688210,GSM688293,GSM688211,GSM688187,GSM688234,GSM688331,GSM688437,GSM688104,GSM688151,GSM688081,GSM688270,GSM688330,GSM688436,GSM688376,GSM688353,GSM688058,GSM688164,GSM688127,GSM688247,GSM688267,GSM688064,GSM688184,GSM688124,GSM688101,GSM688396,GSM688336,GSM688419,GSM688290,GSM688207,GSM688313,GSM688230,GSM688350,GSM688373,GSM688416,GSM688393,GSM688084,GSM688310,GSM688273,GSM688107,GSM688061,GSM688287,GSM688190,GSM688204,GSM688370,GSM688090,GSM688147,GSM688433,GSM688233,GSM688439,GSM688167,GSM688333,GSM688356,GSM688227,GSM688173,GSM688144,GSM688250,GSM688448,GSM688121,GSM688425,GSM688067,GSM688150,GSM688445,GSM688316,GSM688399,GSM688339,GSM688302,GSM688113,GSM688422,GSM688219,GSM688196,GSM688382,GSM688239,GSM688442,GSM688322,GSM688299,GSM688405,GSM688362,GSM688385,GSM688216,GSM688156,GSM688193,GSM688256,GSM688133,GSM688110,GSM688276,GSM688279,GSM688050,GSM688087,GSM688170,GSM688319,GSM688379,GSM688342,GSM688402,GSM688213,GSM688296,GSM688093,GSM688253,GSM688236,GSM688359,GSM688130,GSM688073,GSM688259,GSM688176,GSM688153,GSM688070	GSM688237	GPL4044	Homo sapiens	primary human epithelial cells	unknown
