A1BG	[ 6.81621569  5.35579155  6.38956681]	[ 6.75314988  5.74523733  6.55765515]
A1BG-AS1	[ 5.35684808  4.95233357  5.24754781]	[ 5.423242    5.07038933  5.34376312]
A1CF	[ 5.05484848  5.17472599  5.17672169]	[ 5.13298804  5.50143915  5.21412481]
A2M	[ 7.21964943  5.25108792  4.7967796 ]	[ 8.5285466   5.1024445   5.03707709]
A2M-AS1	[ 3.79493566  2.90110824  3.26603689]	[ 3.67355642  3.2675358   2.79077204]
A2ML1	[ 3.62855718  3.36140035  3.41750916]	[ 3.34716989  3.51703081  3.52335248]
A4GALT	[ 6.38577614  6.53574194  6.32571021]	[ 6.60910485  6.49361531  6.58931407]
A4GNT	[ 4.81455042  4.91073266  4.86145917]	[ 4.88508623  4.81455042  4.9202933 ]
AA06	[ 3.84899843  4.1489341   3.91073266]	[ 4.1210154   4.01346226  3.98458935]
AAAS	[ 7.80258099  7.86468141  8.29236765]	[ 7.90062533  7.7140394   8.16566075]
AACS	[ 7.72246602  7.37216857  7.91987634]	[ 8.30988557  7.17722019  8.07178412]
AACSP1	[ 2.73768676  3.37016428  3.02502879]	[ 2.52606881  3.35332329  3.1953476 ]
AADAC	[ 4.03386345  3.90110824  3.92504996]	[ 3.89917563  4.00270252  4.00270252]
AADACL2	[ 3.31614574  3.00898878  2.82171022]	[ 3.03386345  2.78868571  2.84197312]
AADACP1	[ 3.0721058   2.78450398  2.67581593]	[ 2.74631277  2.79285535  2.85199884]
AADAT	[ 4.27351589  5.33699742  5.94345254]	[ 4.06695024  4.97544677  5.69682846]
AAED1	[ 8.82212465  7.09413048  6.49249415]	[ 8.37690677  7.17452627  6.38784501]
AAGAB	[ 6.31967654  6.20829442  6.39461702]	[ 6.15404944  6.02170616  6.03495273]
AAK1	[ 5.7092655   5.25900788  5.33674452]	[ 5.88392588  5.56805638  5.28961898]
AAMDC	[ 5.77875238  5.8278398   5.10488042]	[ 6.29472084  6.2019936   5.66439774]
AAMP	[ 9.20769767  9.11649992  9.67024905]	[ 8.93481133  8.89284635  9.47623991]
AANAT	[ 3.04264434  3.12432814  3.24336443]	[ 3.0976108   3.29572302  3.32337007]
AAR2	[ 8.62946591  8.3615052   9.45370276]	[ 8.39553414  8.1534507   9.18737682]
AARS	[  9.82908844   9.95569349  10.47332017]	[  9.26987472   9.0120099   10.18696846]
AARS2	[ 7.30837257  7.85001686  7.1391    ]	[ 7.09810498  7.70685703  6.85451027]
AARSD1	[ 6.73261364  6.63881075  6.26803286]	[ 6.68556705  6.70996356  6.06123251]
AASDH	[ 7.1566786   7.5375248   7.28211986]	[ 7.48760444  7.78165458  7.81912167]
AASDHPPT	[ 7.8753215   8.40324228  8.08977313]	[ 7.56429389  8.43648281  8.15797302]
AASS	[ 5.44361872  4.91559407  5.5108788 ]	[ 6.18864981  5.61591779  6.12582699]
AATF	[  9.90758172  10.06739402   9.91665578]	[ 9.53095249  9.8308796   9.9668659 ]
AATK	[ 7.30268461  7.39925656  7.03760186]	[ 7.87547292  7.26688022  6.90496572]
ABAT	[ 4.57706099  5.40187889  4.73113187]	[ 6.06360966  5.77485495  5.98709689]
ABCA1	[ 4.59933388  5.65147026  6.41212459]	[ 5.978485    5.54485293  6.32862375]
ABCA11P	[ 6.15055968  5.87970577  6.02325535]	[ 6.01569381  5.68313499  6.32822612]
ABCA12	[ 2.93545975  3.0721058   3.0071955 ]	[ 3.0071955   3.07895134  2.63226822]
ABCA13	[ 2.60590533  2.55080325  2.59826097]	[ 2.60611784  2.56910449  2.48074835]
ABCA17P	[ 7.07809742  3.57652214  4.07638807]	[ 5.26491169  3.88166462  4.03738222]
ABCA2	[ 5.82580221  5.55993511  5.50586241]	[ 6.01912641  5.45344265  5.70793901]
ABCA3	[ 7.80245174  6.21218021  6.59842476]	[ 7.5200293   6.00382708  6.58736499]
ABCA4	[ 4.07985092  4.42285588  4.23492671]	[ 4.02250848  4.31088749  4.04748748]
