!method	chdir
!cutoff	200
!direction	down
ZCCHC10	-8.6395696509e-06
CTRC	-1.50065434882e-05
PBX3	-0.0514883728308
MYL7	-0.0688325609141
MYL4	-0.0440230068676
LEF1	-0.0403150403895
SLC30A3	-0.0742312282564
ZNF140	-1.23423428402e-05
ALLC	-8.66443983956e-06
LIX1	-0.0460686103122
CACNA1D	-1.07163268812e-05
MRPL55	-1.18781216779e-06
GPR125	-1.06460457818e-05
PIP	-1.78637812493e-05
AMICA1	-1.66823304986e-06
LIPN	-5.75293956566e-06
CGNL1	-0.0401823022215
SCARNA6	-8.63827252193e-06
FANCD2OS	-1.67463349641e-05
LYPD6B	-0.0499810578098
ATF7IP2	-0.0358249619455
VIM	-0.0507174810723
NPY	-0.0520142290121
MIR376A1	-1.25677576007e-05
ACTA2	-0.0733772503969
CD1C	-2.41976591692e-07
OR1D2	-6.39839006295e-06
POLR1B	-2.24950692517e-06
IMPAD1	-0.0373883670523
IGFL2	-1.08243470099e-05
GTPBP8	-5.59999450965e-06
MEIS1	-0.0641282027502
TRAF3IP3	-1.64220445739e-05
KCNIP3	-8.16668022052e-07
H19	-0.100897985032
SPINT3	-5.59617771138e-06
HOXB2	-0.0733149417654
HEATR5A	-1.82605149471e-05
RHOU	-0.0510587597541
MLLT11	-0.0369723913577
CCDC3	-0.0354098126661
OR5T2	-4.90443439994e-06
HBE1	-0.0939581774616
SMYD1	-0.0694588745113
TRIM47	-1.49203478349e-05
DNAH2	-0.0805338560635
OR5C1	-1.61315799525e-05
COL22A1	-0.041544555704
NRD1	-1.18670618213e-05
AGO4	-9.8024271709e-06
WNT5A	-0.0356825746205
ITGAE	-7.99638089502e-06
TMEM88	-0.0414940462122
PDGFRA	-0.0383909159133
EPHA4	-0.0406086786875
CDKN2B-AS1	-5.95758547483e-06
SC5D	-0.0581683712801
CBX8	-1.6603093696e-05
TXNIP	-0.0891738109484
PANX2	-0.0660876395152
OR2H1	-2.0456974041e-06
CBLN2	-0.0809987229604
PYROXD1	-6.95282619889e-06
BAGE3	-1.27967621888e-05
CYB5D1	-0.0575321451016
PAQR8	-0.0360897922814
RAB40AL	-6.00951512797e-06
LONRF3	-1.36157500022e-05
MIR361	-7.49594371873e-07
AIM2	-1.47151861375e-05
MNAT1	-9.24831392141e-06
HEY1	-0.0406617934639
SLC17A8	-0.0435265201917
LRRN4	-0.0478873772091
TREML2	-1.38881751805e-05
ABCA5	-4.25552269705e-06
NKX3-1	-0.047980834854
HAPLN1	-0.0618414062326
ABCA8	-9.040501536e-06
HS3ST6	-1.14494197345e-05
MT2A	-0.0437689322448
SF3B6	-1.57509795185e-05
VCAN	-0.0559862322689
SOX3	-0.0398333209125
MIR181C	-5.48031362032e-06
ALDH1A2	-0.0391325268886
LYPD6	-0.0359939184696
SIM2	-8.86714370866e-06
ACER1	-1.69686077723e-05
PXDNL	-1.60843338345e-06
RGL1	-0.0633710688489
SVEP1	-0.0474338891643
RGS4	-0.062490818272
RFTN1	-0.0557984945164
DGKI	-0.059198071739
OR6C65	-1.70135379241e-05
TNC	-0.0580852621305
SYNPO2L	-0.0415364998295
SASH3	-1.03680022864e-05
CASP4	-9.54872209998e-06
ACKR3	-0.0565770823928
KANK3	-5.45965130333e-06
KLHDC8A	-1.39640352906e-05
SLC1A6	-5.28217183036e-06
