!method	chdir
!cutoff	None
!direction	down
PRKCD	-0.0119234
MRPL19	-0.0119203
IL4R	-0.0119066
CDH3	-0.0119058
KIAA0753	-0.0118542
CCNA1	-0.0118413
PLK1	-0.0117624
ADAT1	-0.0117167
SOCS2	-0.0115449
POLG2	-0.0115142
NCOA3	-0.011477
SPR	-0.0114743
DFFA	-0.0114707
EIF5	-0.0114563
HIST2H2BE	-0.0114028
TIMM22	-0.0113768
MACF1	-0.0113647
NUDCD3	-0.0112567
MYCBP	-0.0112526
DYNLT3	-0.0112002
GTF2E2	-0.0111602
ITGB5	-0.0110832
CTTN	-0.0110513
RPL39L	-0.011022
TGFB3	-0.0109963
NUSAP1	-0.0109452
TMEM50A	-0.0109379
MAN2B1	-0.0109343
GLRX	-0.0108828
ST6GALNAC2	-0.0108195
CISD1	-0.0108102
GRN	-0.0107953
TFDP1	-0.010707
BECN1	-0.0106193
RAC2	-0.01051
RAP1GAP	-0.0105005
FAH	-0.0104978
SLC35F2	-0.0103361
CRYZ	-0.0103225
ALAS1	-0.0102793
HES1	-0.0102741
PLEKHM1	-0.0102549
C5	-0.0101607
ANKRD10	-0.0101366
TGFBR2	-0.0101106
RAE1	-0.0100931
LIG1	-0.0100123
CNPY3	-0.00991676
TRAP1	-0.00989023
SDHB	-0.009774
PRAF2	-0.00976194
PRR15L	-0.00975413
FBXO21	-0.00974268
DRAP1	-0.00957203
RFNG	-0.00948543
SCRN1	-0.00945352
INTS3	-0.00938851
MAPK1IP1L	-0.00938479
BIRC5	-0.00935148
DLD	-0.00932637
NENF	-0.00931055
TLE1	-0.00926535
TICAM1	-0.00921038
ITGAE	-0.00905268
METRN	-0.00898539
IFRD2	-0.00894299
UBE2J1	-0.0087558
THAP11	-0.00875177
PPP2R5A	-0.00874469
ID2	-0.00866055
TRAPPC6A	-0.00865063
ALDOA	-0.00863344
HS2ST1	-0.00860067
PPARD	-0.0085515
NR1H2	-0.00851931
MLLT11	-0.00838167
CPNE3	-0.00836787
TIMELESS	-0.0083504
HK1	-0.00831239
HLA-DRA	-0.00829454
PIGB	-0.00826627
CHEK2	-0.0082401
PARP2	-0.00820614
AXIN1	-0.00820609
CDC25B	-0.00820555
AURKB	-0.00819818
HSPD1	-0.0081904
MMP2	-0.0081566
TIMM17B	-0.00812001
MAST2	-0.00809221
NOL3	-0.00805729
STAT5B	-0.00801276
TUBB6	-0.00798376
ANXA7	-0.0079798
PAFAH1B3	-0.00786781
BIRC2	-0.00783034
BAX	-0.00782247
MRPL12	-0.00780982
CCNB1	-0.00778669
BNIP3	-0.00774634
BLCAP	-0.00773556
RBM15B	-0.00771854
PAF1	-0.0077102
CALM3	-0.00769109
SFN	-0.00768728
TRAM2	-0.00763844
POLB	-0.00762703
OXSR1	-0.00761934
CDK1	-0.00753267
HPRT1	-0.00746042
TPD52L2	-0.00744505
NIT1	-0.00743687
NOLC1	-0.00736644
PHKA1	-0.00735432
NR2F6	-0.00729721
STK25	-0.0072729
DYRK3	-0.00727244
FAIM	-0.00726781
PHGDH	-0.00726264
ME2	-0.0070879
STMN1	-0.00708541
NUDT9	-0.00706348
ATF5	-0.0070305
NFKBIA	-0.00700674
CASC3	-0.00693361
FAM63A	-0.00692906
SKIV2L	-0.00687386
FIS1	-0.00684897
SQSTM1	-0.00682596
LIPA	-0.00671571
STXBP2	-0.00671365
PIH1D1	-0.00668631
STAMBP	-0.0066003
RHOA	-0.00649329
TNFRSF21	-0.00635782
EGFR	-0.0063379
RNMT	-0.00621513
ATP1B1	-0.00613764
LYN	-0.00608082
BDH1	-0.00606543
SMARCC1	-0.0060634
PRSS23	-0.00600262
DAG1	-0.00591502
GABPB1	-0.00587433
SENP6	-0.00582715
GNPDA1	-0.0054104
WASF3	-0.00539593
HDAC6	-0.00536711
STX4	-0.0053267
LSR	-0.00529657
HTATSF1	-0.0050892
ITGB1BP1	-0.00508333
TP53BP1	-0.00501053
RSU1	-0.00499185
OXCT1	-0.00488635
SNX6	-0.00485114
ARNT2	-0.00468948
SHB	-0.00467635
FGFR4	-0.00457881
LBR	-0.00450551
FASTKD5	-0.00449295
BLVRA	-0.00446774
FDFT1	-0.00441108
RBM6	-0.00438738
PTPLAD1	-0.00438463
NFKB2	-0.00438021
HSPB1	-0.0043071
PTGS2	-0.00426735
RB1	-0.00425405
PECR	-0.00423818
TOP2A	-0.00418876
CSNK1E	-0.00413807
SLC25A13	-0.00409133
ADH5	-0.00403656
DCUN1D4	-0.0039331
SKP1	-0.00387098
KLHL9	-0.00386609
GLOD4	-0.00382239
ECH1	-0.00381378
EIF4EBP1	-0.00375208
PIP4K2B	-0.00372606
MSRA	-0.00370288
ZNF274	-0.00367804
TCEAL4	-0.00366256
SCP2	-0.00364726
EPHB2	-0.00363792
HSPA8	-0.0034916
CASP2	-0.00347874
HERPUD1	-0.00345615
TM9SF3	-0.00340178
AKR7A2	-0.00335949
PROS1	-0.00333439
EGF	-0.00325838
CIRBP	-0.0031261
LAMA3	-0.00309878
CAPN1	-0.00308563
FAS	-0.00306414
DCTD	-0.0030627
ZNF589	-0.00303606
SMC3	-0.0029801
MBNL2	-0.00288643
SNAP25	-0.00282202
FBXL12	-0.00279466
BAG3	-0.00279344
MPZL1	-0.00277376
PDHX	-0.00273013
GRB10	-0.00271472
MALT1	-0.00268288
MAP2K5	-0.00260658
TSEN2	-0.00257769
UBE2C	-0.00257471
FZD7	-0.00253795
PGAM1	-0.00251018
DNMT3A	-0.00250664
KEAP1	-0.00248553
RAD51C	-0.00245229
SUZ12	-0.00234668
PRKACA	-0.00230211
PSME1	-0.00227883
FCHO1	-0.00217468
RALGDS	-0.00213339
FBXO7	-0.00213108
PSMD9	-0.00213082
MRPS16	-0.00211814
PRKAG2	-0.00210424
SYNGR3	-0.00207793
CCNF	-0.00205837
HSD17B10	-0.00202873
TCTA	-0.00197753
PHKG2	-0.00195068
USP22	-0.00194736
DPH2	-0.00193616
NOSIP	-0.00193415
PDS5A	-0.00191468
PAICS	-0.00188402
COPB2	-0.00180683
NUP88	-0.00175217
DSG2	-0.00172191
TMEM110	-0.00171027
SLC35B1	-0.00170279
CDK6	-0.00164759
PSMD4	-0.00162801
ELAVL1	-0.001482
DNAJB2	-0.00146126
SLC27A3	-0.00141949
PUF60	-0.00135427
CCP110	-0.00132342
PIK3R3	-0.00122951
PRKX	-0.00115335
TNIP1	-0.0010989
CDK19	-0.00104173
SYPL1	-0.00102203
TSKU	-0.000995522
TOPBP1	-0.000936108
FOXO4	-0.00093319
IGF1R	-0.00090683
DNM1	-0.000897365
PCNA	-0.000883231
EED	-0.000855628
TWF2	-0.000811349
POP4	-0.000776808
ABCF1	-0.000771883
USP7	-0.000693641
MMP1	-0.000667915
HDAC2	-0.000596837
DNM1L	-0.000580943
IGHMBP2	-0.000555679
ENOPH1	-0.000474937
RRP12	-0.000469591
USP1	-0.000469096
RPA1	-0.000433554
NUP133	-0.000431735
ABCF3	-0.000399435
BTK	-0.000376089
COL1A1	-0.000370813
PCMT1	-0.000342032
PHKB	-0.000325273
CALU	-0.00031479
MAPK13	-0.000271359
TXNDC9	-0.000183072
TRIM2	-0.000134569
RALA	-0.000128579
CSNK2A2	-5.84145e-05
RELB	-2.86816e-05
SLC2A6	-1.06905e-06
